T̩rmino,Frecuencia
corpus,555
text,182
corpus linguistics,76
type,73
annotation,73
sample,64
corpus-based,30
concordance,28
XML,22
collocation,21
diachronic,21
metadata,19
node,16
token,15
markup,15
frequency list,14
lemma,13
representativeness,12
lexis,11
encoding,11
tagging,11
keyword,9
corpus-driven,8
balance,7
reference corpus,7
sampling frame,6
comparability,5
synchronic,4
statistical significance,4
concordancer,4
monitor corpus,3
type-token ratio,3
markup language,2
lemmatization,2
key word in context,1
lemmatisation,1
